encoder,v,video_res,num_frames,qsize,bit_rate,psnr, optional_settings
VTM,BasketballPass_416x240_50.yuv,416x240_50,1,22,7208.8000,46.0284,
VTM,BasketballPass_416x240_50.yuv,416x240_50,1,27,4422.0000,42.7948,
VTM,BasketballPass_416x240_50.yuv,416x240_50,1,32,2642.0000,39.6985,
VTM,BasketballPass_416x240_50.yuv,416x240_50,1,37,1481.6000,36.4891,
VTM,Cactus_1920x1080_50.yuv,1920x1080_50,1,22,109918.4000,41.0578,
VTM,Cactus_1920x1080_50.yuv,1920x1080_50,1,27,57384.4000,39.3308,
VTM,Cactus_1920x1080_50.yuv,1920x1080_50,1,32,33016.8000,37.8478,
VTM,Cactus_1920x1080_50.yuv,1920x1080_50,1,37,18448.4000,35.9316,
VTM,RaceHorsesC_832x480_30.yuv,832x480_30,1,22,18996.9600,42.6351,
VTM,RaceHorsesC_832x480_30.yuv,832x480_30,1,27,11990.6400,39.9670,
VTM,RaceHorsesC_832x480_30.yuv,832x480_30,1,32,7383.3600,37.2959,
VTM,RaceHorsesC_832x480_30.yuv,832x480_30,1,37,4144.8000,34.3350,
VTM,FourPeople_1280x720_60.yuv,1280x720_60,1,22,35899.6800,46.2077,
VTM,FourPeople_1280x720_60.yuv,1280x720_60,1,27,22793.7600,44.5357,
VTM,FourPeople_1280x720_60.yuv,1280x720_60,1,32,14539.6800,42.4462,
VTM,FourPeople_1280x720_60.yuv,1280x720_60,1,37,9036.9600,39.7978,
vvenc,BasketballPass_416x240_50.yuv,416x240_50,1,22,220989.1200,40.0051,
vvenc,BasketballPass_416x240_50.yuv,416x240_50,1,27,139727.5200,35.9917,
vvenc,BasketballPass_416x240_50.yuv,416x240_50,1,32,84527.0400,32.2956,
vvenc,BasketballPass_416x240_50.yuv,416x240_50,1,37,46397.7600,28.7382,
vvenc,Cactus_1920x1080_50.yuv,1920x1080_50,1,22,262509.6000,45.9383,
vvenc,Cactus_1920x1080_50.yuv,1920x1080_50,1,27,124326.7200,41.4512,
vvenc,Cactus_1920x1080_50.yuv,1920x1080_50,1,32,51093.1200,38.6500,
vvenc,Cactus_1920x1080_50.yuv,1920x1080_50,1,37,26927.0400,36.5373,
vvenc,RaceHorsesC_832x480_30.yuv,832x480_30,1,22,272751.3600,39.5888,
vvenc,RaceHorsesC_832x480_30.yuv,832x480_30,1,27,179684.6400,35.3453,
vvenc,RaceHorsesC_832x480_30.yuv,832x480_30,1,32,109981.4400,31.3451,
vvenc,RaceHorsesC_832x480_30.yuv,832x480_30,1,37,58925.7600,27.6069,
vvenc,FourPeople_1280x720_60.yuv,1280x720_60,1,22,154560.4800,41.2001,
vvenc,FourPeople_1280x720_60.yuv,1280x720_60,1,27,88731.3600,36.6550,
vvenc,FourPeople_1280x720_60.yuv,1280x720_60,1,32,50972.1600,32.9654,
vvenc,FourPeople_1280x720_60.yuv,1280x720_60,1,37,26417.2800,29.5221,
